　　　　　　　　电影名称　　　　　　　　	    评分    	   评论人数   	短评　　　　　　　　
　　　　　　　肖申克的救赎　　　　　　　	   9.7    	 1932909  	希望让人自由。　　　
　　　　　　　　霸王别姬　　　　　　　　	   9.6    	 1422975  	风华绝代。　　　　　
　　　　　　　　阿甘正传　　　　　　　　	   9.5    	 1468039  	一部美国近现代史。　
　　　　　　这个杀手不太冷　　　　　　　	   9.4    	 1663176  	怪蜀黍和小萝莉不得不说的故事。
　　　　　　　　美丽人生　　　　　　　　	   9.5    	  929135  	最美的谎言。　　　　
　　　　　　　泰坦尼克号　　　　　　　　	   9.4    	 1413748  	失去的才是永恒的。 
　　　　　　　　千与千寻　　　　　　　　	   9.3    	 1511494  	最好的宫崎骏，最好的久石让。 
　　　　　　　辛德勒的名单　　　　　　　	   9.5    	  749745  	拯救一个人，就是拯救整个世界。
　　　　　　　　盗梦空间　　　　　　　　	   9.3    	 1411975  	诺兰给了我们一场无法盗取的梦。
　　　　　　忠犬八公的故事　　　　　　　	   9.4    	  972615  	永远都不能忘记你所爱的人。
　　　　　　　海上钢琴师　　　　　　　　	   9.3    	 1173719  	每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
　　　　　　　机器人总动员　　　　　　　	   9.3    	  931527  	小瓦力，大人生。　　
　　　　　　三傻大闹宝莱坞　　　　　　　	   9.2    	 1300020  	英俊版憨豆，高情商版谢耳朵。
　　　　　　　楚门的世界　　　　　　　　	   9.3    	 1035880  	如果再也不能见到你，祝你早安，午安，晚安。
　　　　　　　放牛班的春天　　　　　　　	   9.3    	  904749  	天籁一般的童声，是最接近上帝的存在。 
　　　　　　　　星际穿越　　　　　　　　	   9.3    	 1046051  	爱是一种力量，让我们超越时空感知它的存在。
　　　　　大话西游之大圣娶亲　　　　　　	   9.2    	 1022685  	一生所爱。　　　　　
　　　　　　　　　熔炉　　　　　　　　　	   9.3    	  627366  	我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
　　　　　　　疯狂动物城　　　　　　　　	   9.2    	 1213398  	迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
　　　　　　　　无间道　　　　　　　　　	   9.2    	  834078  	香港电影史上永不过时的杰作。
　　　　　　　　　龙猫　　　　　　　　　	   9.2    	  872606  	人人心中都有个龙猫，童年就永远不会消失。
　　　　　　　　　教父　　　　　　　　　	   9.3    	  638958  	千万不要记恨你的对手，这样会让你失去理智。
　　　　　　　当幸福来敲门　　　　　　　	   9.1    	 1041912  	平民励志片。 　　　
　　　　　　　　怦然心动　　　　　　　　	   9.1    	 1203265  	真正的幸福是来自内心深处。
　　　　　　　　触不可及　　　　　　　　	   9.2    	  680490  	满满温情的高雅喜剧。
　　　　　　蝙蝠侠：黑暗骑士　　　　　　	   9.2    	  701705  	无尽的黑暗。　　　　
　　　　　　　　控方证人　　　　　　　　	   9.6    	  264276  	比利·怀德满分作品。
　　　　　　　　　活着　　　　　　　　　	   9.2    	  541618  	张艺谋最好的电影。　
　　　　　　　　乱世佳人　　　　　　　　	   9.3    	  465270  	Tomorrow is another day.
　　　　　　　寻梦环游记　　　　　　　　	   9.1    	 1010037  	死亡不是真的逝去，遗忘才是永恒的消亡。
　　　　　　　　末代皇帝　　　　　　　　	   9.2    	  478985  	“不要跟我比惨，我比你更惨”再适合这部电影不过了。
　　　　　　　摔跤吧！爸爸　　　　　　　	   9.0    	 1058365  	你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
　　　　　　少年派的奇幻漂流　　　　　　	   9.1    	  991248  	瑰丽壮观、无人能及的冒险之旅。
　　　　　指环王3：王者无敌　　　　　　	   9.2    	  512854  	史诗的终章。　　　　
　　　　　　　飞屋环游记　　　　　　　　	   9.0    	  918641  	最后那些最无聊的事情，才是最值得怀念的。 
　　　　　　　　十二怒汉　　　　　　　　	   9.4    	  309139  	1957年的理想主义。 
　　　　　　　　何以为家　　　　　　　　	   9.1    	  595620  	凝视卑弱生命，用电影改变命运。
　　　　　　　　鬼子来了　　　　　　　　	   9.2    	  425248  	对敌人的仁慈，就是对自己残忍。
　　　　　　　　天空之城　　　　　　　　	   9.1    	  583548  	对天空的追逐，永不停止。 
　　　　　大话西游之月光宝盒　　　　　　	   9.0    	  822300  	旷古烁今。　　　　　
　　　　　　哈尔的移动城堡　　　　　　　	   9.0    	  666861  	带着心爱的人在天空飞翔。
　　　　　　　天堂电影院　　　　　　　　	   9.2    	  463555  	那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
　　　　　　　　　素媛　　　　　　　　　	   9.2    	  415585  	受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
　　　　　　　　罗马假日　　　　　　　　	   9.0    	  673101  	爱情哪怕只有一天。　
　　　　　　　闻香识女人　　　　　　　　	   9.1    	  584315  	史上最美的探戈。　　
　　　　　　　　辩护人　　　　　　　　　	   9.2    	  416271  	电影的现实意义大过电影本身。
　　　　　　　搏击俱乐部　　　　　　　　	   9.0    	  612927  	邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
　　　　　哈利·波特与魔法石　　　　　　	   9.0    	  614884  	童话世界的开端。　　
　　　　　　　　死亡诗社　　　　　　　　	   9.1    	  479287  	当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
　　　　　　　　教父2　　　　　　　　　	   9.2    	  352295  	优雅的孤独。　　　　
　　　　　　　　窃听风暴　　　　　　　　	   9.1    	  395019  	别样人生。　　　　　
　　　　　　　我不是药神　　　　　　　　	   9.0    	 1427306  	对我们国家而言，这样的电影多一部是一部。
　　　　　　　　狮子王　　　　　　　　　	   9.0    	  541650  	动物版《哈姆雷特》。
　　　　　指环王2：双塔奇兵　　　　　　	   9.1    	  470006  	承前启后的史诗篇章。
　　　　　　　　大闹天宫　　　　　　　　	   9.3    	  254090  	经典之作，历久弥新。
　　　　　　　两杆大烟枪　　　　　　　　	   9.1    	  418996  	4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
　　　　　指环王1：魔戒再现　　　　　　	   9.0    	  528505  	传说的开始。　　　　
　　　　　　　飞越疯人院　　　　　　　　	   9.1    	  418560  	自由万岁。　　　　　
　　　　　　　　美丽心灵　　　　　　　　	   9.0    	  519562  	爱是一切逻辑和原由。
　　　　　　　　饮食男女　　　　　　　　	   9.1    	  384907  	人生不能像做菜，把所有的料都准备好了才下锅。
　　　　　　　V字仇杀队　　　　　　　　	   8.9    	  734523  	一张面具背后的理想与革命。
　　　　　　　　黑客帝国　　　　　　　　	   9.0    	  528518  	视觉革命。　　　　　
　　　　　　　　猫鼠游戏　　　　　　　　	   9.0    	  530313  	骗子大师和执著警探的你追我跑故事。 
　　　　　　　　钢琴家　　　　　　　　　	   9.1    	  347704  	音乐能化解仇恨。　　
　　　　　　本杰明·巴顿奇事　　　　　　	   8.9    	  679616  	在时间之河里感受溺水之苦。
　　　　　　　看不见的客人　　　　　　　	   8.8    	  787258  	你以为你以为的就是你以为的。
　　　　　　　　让子弹飞　　　　　　　　	   8.8    	 1104100  	你给我翻译翻译，神马叫做TMD的惊喜。
　　　　　　　　海豚湾　　　　　　　　　	   9.3    	  276792  	海豚的微笑，是世界上最高明的伪装。
　　　　　　西西里的美丽传说　　　　　　	   8.9    	  664657  	美丽无罪。　　　　　
　　　　　　　　　情书　　　　　　　　　	   8.9    	  625470  	暗恋的极致。　　　　
　　　　　　　拯救大兵瑞恩　　　　　　　	   9.0    	  438779  	美利坚精神输出大片No1.
　　　　　　　　小鞋子　　　　　　　　　	   9.2    	  269868  	奔跑的孩子是天使。　
　　　　　　　　音乐之声　　　　　　　　	   9.0    	  405862  	用音乐化解仇恨，让歌声串起美好。
　　　　　　　　美国往事　　　　　　　　	   9.2    	  289225  	往事如烟，无处祭奠。
　　　　　　穿条纹睡衣的男孩　　　　　　	   9.1    	  331655  	尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
　　　　　　　　致命魔术　　　　　　　　	   8.9    	  581042  	孪生蝙蝠侠大战克隆金刚狼。
　　　　　　　　七宗罪　　　　　　　　　	   8.8    	  678294  	警察抓小偷，老鼠玩死猫。
　　　　　　　　低俗小说　　　　　　　　	   8.8    	  577713  	故事的高级讲法。　　
　　　　　　　　绿皮书　　　　　　　　　	   8.9    	 1009047  	去除成见，需要勇气。
　　　　　　　沉默的羔羊　　　　　　　　	   8.8    	  574639  	安东尼·霍普金斯的顶级表演。
　　　　　　　　蝴蝶效应　　　　　　　　	   8.8    	  639190  	人的命运被自己瞬间的抉择改变。
　　　　　被嫌弃的松子的一生　　　　　　	   8.9    	  516955  	以戏谑来戏谑戏谑。　
　　　　　　　　春光乍泄　　　　　　　　	   8.9    	  429745  	爱情纠缠，男女一致。
　　　　　　　　禁闭岛　　　　　　　　　	   8.8    	  636632  	昔日翩翩少年，今日大腹便便。
　　　　　　　　心灵捕手　　　　　　　　	   8.9    	  476700  	人生中应该拥有这样的一段豁然开朗。
　　　　　　布达佩斯大饭店　　　　　　　	   8.8    	  602955  	小清新的故事里注入了大历史的情怀。
　　　　　　　海蒂和爷爷　　　　　　　　	   9.2    	  231662  	如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
　　　　　　　剪刀手爱德华　　　　　　　	   8.7    	  776063  	浪漫忧郁的成人童话。
　　　　　　　　勇敢的心　　　　　　　　	   8.9    	  432693  	史诗大片的典范。　　
　　　　　　　　阿凡达　　　　　　　　　	   8.7    	  917439  	绝对意义上的美轮美奂。
　　　　　　　　摩登时代　　　　　　　　	   9.3    	  187523  	大时代中的人生，小人物的悲喜。
　　　　　　　天使爱美丽　　　　　　　　	   8.7    	  744483  	法式小清新。 　　　
　　　　　　　加勒比海盗　　　　　　　　	   8.7    	  607586  	约翰尼·德普的独角戏。
　　　　　　　　致命ID　　　　　　　　	   8.8    	  533642  	最不可能的那个人永远是最可能的。
　　　　　　　　喜剧之王　　　　　　　　	   8.7    	  632635  	我是一个演员。　　　
　　　　　　　　断背山　　　　　　　　　	   8.8    	  516029  	每个人心中都有一座断背山。
　　　　　　　　杀人回忆　　　　　　　　	   8.8    	  438257  	关于连环杀人悬案的集体回忆。
　　　　　　　　幽灵公主　　　　　　　　	   8.9    	  379202  	人与自然的战争史诗。
　　　　　　　　　狩猎　　　　　　　　　	   9.1    	  235361  	人言可畏。　　　　　
　　　　　　　　入殓师　　　　　　　　　	   8.8    	  439048  	死可能是一道门，逝去并不是终结，而是超越，走向下一程。
　　　　　　阳光灿烂的日子　　　　　　　	   8.8    	  435446  	一场华丽的意淫。　　
　　　　　　　　重庆森林　　　　　　　　	   8.7    	  546954  	寂寞没有期限。　　　
　　　　　　　　第六感　　　　　　　　　	   8.9    	  374618  	深入内心的恐怖，出人意料的结局。
　　　　　请以你的名字呼唤我　　　　　　	   8.9    	  416759  	沉醉在电影的情感和视听氛围中无法自拔。
　　　　　　小森林 夏秋篇　　　　　　　	   9.0    	  279559  	那些静得只能听见呼吸的日子里，你明白孤独即生活。
　　　哈利·波特与死亡圣器(下)　　　　	   8.8    	  501212  	10年的完美句点。　
　　　　　　　消失的爱人　　　　　　　　	   8.7    	  615991  	年度最佳date movie。
　　　　　　　7号房的礼物　　　　　　　	   8.9    	  345680  	《我是山姆》的《美丽人生》。
　　　　　　　　红辣椒　　　　　　　　　	   9.0    	  260602  	梦的勾结。　　　　　
　　　　　　　玛丽和马克思　　　　　　　	   8.9    	  321783  	你是我最好的朋友，你是我唯一的朋友 。
　　　　　　爱在黎明破晓前　　　　　　　	   8.8    	  398024  	缘分是个连绵词，最美不过一瞬。
　　　　　　小森林 冬春篇　　　　　　　	   9.0    	  245891  	尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
　　　　　　　　　告白　　　　　　　　　	   8.7    	  521399  	没有一人完全善，也没有一人完全恶。
　　　　　　　　　一一　　　　　　　　　	   9.0    	  240113  	我们都曾经是一一。　
　　　　　　　　侧耳倾听　　　　　　　　	   8.9    	  308176  	少女情怀总是诗。　　
